actor_name,actor_dob,actor_gender,actor_ethnicity_label,actor_height,actor_age_at_release,freebase_movie_id,character_name
Mehcad Brooks,1980-10-25 00:00:00,M,African Americans,1.905,29.0,/m/07kbj2s,Angelo Bembrey
Nick Nolte,1941-02-08 00:00:00,M,Irish people,1.85,54.0,/m/06wmyc,Thomas Jefferson
Gwyneth Paltrow,1972-09-27 00:00:00,F,Jewish people,1.75,22.0,/m/06wmyc,Patsy Jefferson
Thandie Newton,1972-11-06 00:00:00,F,English people,1.6,22.0,/m/06wmyc,Sally Hemings
Greta Scacchi,1960-02-18 00:00:00,F,Italian Australians,1.75,35.0,/m/06wmyc,Maria Cosway
Nicolas Cage,1964-01-07 00:00:00,M,German Americans,1.83,43.0,/m/069dl1,Cris Johnson
Julianne Moore,1960-12-03 00:00:00,F,Scottish Americans,1.6,46.0,/m/069dl1,Callie Ferris
Thomas Kretschmann,1962-09-08 00:00:00,M,Germans,1.76,44.0,/m/069dl1,Mr. Smith
Peter Falk,1927-09-16 00:00:00,M,Czech Americans,1.676,79.0,/m/069dl1,Irv
Jessica Biel,1982-03-03 00:00:00,F,English Americans,1.73,25.0,/m/069dl1,Liz Cooper
Robert De Niro,1943-08-17 00:00:00,M,Italian Americans,1.77,60.0,/m/040280,Richard Wells
Sean Connery,1930-08-25 00:00:00,M,Scottish people,1.89,50.0,/m/03dwzc,Marshall William T. O'Niel
Harrison Ford,1942-07-13 00:00:00,M,German Americans,1.85,46.0,/m/0dnqr,Indiana Jones
Sean Connery,1930-08-25 00:00:00,M,Scottish people,1.89,58.0,/m/0dnqr,"Henry Jones, Sr."
John Rhys-Davies,1944-05-05 00:00:00,M,Welsh people,1.85,45.0,/m/0dnqr,Sallah
Pat Roach,1937-05-19 00:00:00,M,White British,1.95,52.0,/m/0dnqr,Gestapo
River Phoenix,1970-08-23 00:00:00,M,Jewish people,1.78,18.0,/m/0dnqr,Indiana Jones
Alexei Sayle,1952-08-07 00:00:00,M,Jewish people,1.8,36.0,/m/0dnqr,Sultan
Brian Cox,1946-06-01 00:00:00,M,Irish migration to Great Britain,1.76,53.0,/m/04kkxx,Gary Wheeler
Kevin Costner,1955-01-18 00:00:00,M,English Americans,1.85,44.0,/m/04kkxx,Billy Chapel
John C. Reilly,1965-05-24 00:00:00,M,Lithuanian Americans,1.87,34.0,/m/04kkxx,Gus Sinski
Richard Dawson,1932-11-20 00:00:00,M,English Americans,1.75,54.0,/m/0kvds4,Damon Killian
Arnold Schwarzenegger,1947-07-30 00:00:00,M,Austrians,1.88,40.0,/m/0kvds4,Ben Richards
Maria Conchita Alonso,1957-06-29 00:00:00,F,Hispanic and Latino Americans,1.69,30.0,/m/0kvds4,Amber Mendez
Jim Brown,1936-02-17 00:00:00,M,African Americans,1.88,51.0,/m/0kvds4,Fireball
Jesse Ventura,1951-07-15 00:00:00,M,Slovak Americans,1.93,36.0,/m/0kvds4,Captain Freedom
Sven-Ole Thorsen,1944-09-24 00:00:00,M,Danes,1.95,43.0,/m/0kvds4,Sven
Ryan O'Neal,1941-04-20 00:00:00,M,White people,1.85,47.0,/m/08ll9g,Philip Train
Robert Downey Jr.,1965-04-04 00:00:00,M,Jewish people,1.75,23.0,/m/08ll9g,Alex Finch
John Lithgow,1945-10-19 00:00:00,M,Scottish Americans,1.93,38.0,/m/011xrr,Lord John Whorfin
Vincent Schiavelli,1948-11-11 00:00:00,M,Sicilian Americans,1.93,35.0,/m/011xrr,John O'Connor
Jeff Goldblum,1952-10-22 00:00:00,M,Jewish people,1.94,31.0,/m/011xrr,New Jersey
Jamie Lee Curtis,1958-11-22 00:00:00,F,American Jews,1.75,25.0,/m/011xrr,Sandra Banzai
Dan Hedaya,1940-07-24 00:00:00,M,Jewish people,1.75,44.0,/m/011xrr,John Gomez
Ellen Barkin,1954-04-16 00:00:00,F,Russian Americans,1.7,30.0,/m/011xrr,Penny Priddy
Carl Lumbly,1951-08-14 00:00:00,M,African Americans,1.854,33.0,/m/011xrr,John Parker
John Lithgow,1945-10-19 00:00:00,M,Scottish Americans,1.93,38.0,/m/011xrr,Dr. Emilio Lizardo
Terry Crews,1968-07-30 00:00:00,M,African Americans,1.89,39.0,/m/026wlxw,Agent 91
Steve Carell,1962-08-16 00:00:00,M,White people,1.75,45.0,/m/026wlxw,Maxwell Smart
Anne Hathaway,1982-11-12 00:00:00,F,White people,1.73,25.0,/m/026wlxw,Agent 99
The Rock,1972-05-02 00:00:00,M,Samoan Americans,1.96,36.0,/m/026wlxw,Agent 23
Alan Arkin,1934-03-26 00:00:00,M,Jewish people,1.75,74.0,/m/026wlxw,The Chief
Terence Stamp,1938-07-22 00:00:00,M,English people,1.829,69.0,/m/026wlxw,Siegfried
James Caan,1940-03-26 00:00:00,M,Jewish people,1.76,68.0,/m/026wlxw,The President
Bill Murray,1950-09-21 00:00:00,M,Irish Americans,1.88,57.0,/m/026wlxw,Agent 13
Masi Oka,1974-12-27 00:00:00,M,Japanese Americans,1.676,33.0,/m/026wlxw,Bruce
Kevin Nealon,1953-11-18 00:00:00,M,White Americans,1.93,54.0,/m/026wlxw,CIA Agent #2
Taraji P. Henson,1970-09-11 00:00:00,F,African Americans,1.65,38.0,/m/051zpx6,Clarice Clark
Morris Chestnut,1969-01-01 00:00:00,M,African Americans,1.83,40.0,/m/051zpx6,Dave Johnson
Eddie Cibrian,1973-06-16 00:00:00,M,Hispanic and Latino Americans,1.88,35.0,/m/051zpx6,Brock Houseman
Niecy Nash,1970-02-23 00:00:00,F,African Americans,1.63,38.0,/m/051zpx6,Michelle
Michael Moriarty,1941-04-05 00:00:00,M,Irish Americans,1.93,44.0,/m/0614yq,Harry Potter Sr.
Sonny Bono,1935-02-16 00:00:00,M,Italian Americans,1.651,50.0,/m/0614yq,Peter Dickinson
Wesley Snipes,1962-07-31 00:00:00,M,African Americans,1.753,35.0,/m/0d7z7_,Max Carlyle
Nastassja Kinski,1961-01-24 00:00:00,F,German Americans,1.69,36.0,/m/0d7z7_,Karen
Kyle MacLachlan,1959-02-22 00:00:00,M,Scottish Americans,1.83,38.0,/m/0d7z7_,Vernon
Ming-Na,1963-11-20 00:00:00,F,Chinese Americans,1.63,33.0,/m/0d7z7_,Mimi Carlyle
Robert Downey Jr.,1965-04-04 00:00:00,M,Jewish people,1.75,32.0,/m/0d7z7_,Charlie
Ione Skye,1970-09-04 00:00:00,F,Jewish people,1.65,27.0,/m/0d7z7_,Jenny
Linda Blair,1959-01-22 00:00:00,F,Scottish Americans,1.52,18.0,/m/02r71n,Regan MacNeil
Richard Burton,1925-11-10 00:00:00,M,Welsh people,1.78,51.0,/m/02r71n,Philip Lamont
Max von Sydow,1929-04-10 00:00:00,M,Swedes,1.94,48.0,/m/02r71n,Lankester Merrin
James Earl Jones,1931-01-17 00:00:00,M,African Americans,1.87,46.0,/m/02r71n,Kokumo
Art Carney,1918-11-04 00:00:00,M,Irish Americans,1.77,55.0,/m/015qtl,Harry
Ellen Burstyn,1932-12-07 00:00:00,F,Irish Americans,1.7,41.0,/m/015qtl,Shirley Mallard
Mary Tyler Moore,1936-12-29 00:00:00,F,Irish Americans,1.702,49.0,/m/02wwtk_,Holly Davis
Charlie Sheen,1965-09-03 00:00:00,M,Spanish Americans,1.75,24.0,/m/07b64x,Carl Taylor
Emilio Estevez,1962-05-12 00:00:00,M,Spanish Americans,1.638,28.0,/m/07b64x,James St. James
Russell Crowe,1964-04-07 00:00:00,M,Māori,1.8,42.0,/m/0b5kwp,Max Skinner
Marion Cotillard,1975-09-30 00:00:00,F,French,1.69,30.0,/m/0b5kwp,Fanny Chenal
Abbie Cornish,1982-08-07 00:00:00,F,Australians,1.73,24.0,/m/0b5kwp,Christie Roberts
Kenneth Cranham,1944-12-12 00:00:00,M,Scottish people,1.702,61.0,/m/0b5kwp,Sir Nigel
Richard Coyle,1972-02-27 00:00:00,M,Irish people,1.82,34.0,/m/0b5kwp,Amis
Tom Hollander,1967-08-25 00:00:00,M,English people,1.651,39.0,/m/0b5kwp,Charlie Willis
Albert Finney,1936-05-09 00:00:00,M,English people,1.75,70.0,/m/0b5kwp,Uncle Henry
Freddie Highmore,1992-02-14 00:00:00,M,English people,1.78,14.0,/m/0b5kwp,Max Skinner
Jessica Lange,1949-04-20 00:00:00,F,White Americans,1.71,36.0,/m/03b19k,Patsy Cline
John Goodman,1952-06-20 00:00:00,M,White Americans,1.88,33.0,/m/03b19k,Otis
Sean Connery,1930-08-25 00:00:00,M,Scottish people,1.89,61.0,/m/06m4p7,Dr. Robert Campbell
Lorraine Bracco,1954-10-02 00:00:00,F,Italian Americans,1.702,37.0,/m/06m4p7,Dr. Rae Crane
Ingrid Bergman,1915-08-29 00:00:00,F,Swedish Americans,1.75,41.0,/m/01b15b,Anastasia
Yul Brynner,1920-07-11 00:00:00,M,Jewish people,1.73,36.0,/m/01b15b,General Sergei Pavlovich Bounine
Ingrid Bergman,1915-08-29 00:00:00,F,Swedish Americans,1.75,41.0,/m/01b15b,Anna Koreff
David Warner,1941-07-29 00:00:00,M,Jewish people,1.87,34.0,/m/019k65,Keith Jennings
Gregory Peck,1916-04-05 00:00:00,M,Scottish Americans,1.905,60.0,/m/019k65,Robert Thorn
Charlie Sheen,1965-09-03 00:00:00,M,Spanish Americans,1.75,22.0,/m/099058,Ted Varrick
Randy Quaid,1950-10-01 00:00:00,M,Cajun,1.943,37.0,/m/099058,Lieutenant Vincent Bracey
Harrison Ford,1942-07-13 00:00:00,M,German Americans,1.85,55.0,/m/01_wsl,Quinn Harris
David Schwimmer,1966-11-02 00:00:00,M,Jewish people,1.85,31.0,/m/01_wsl,Frank Martin
Temuera Morrison,1960-12-26 00:00:00,M,Māori,1.708,37.0,/m/01_wsl,Jager
Danny Trejo,1944-05-16 00:00:00,M,Mexican Americans,1.68,54.0,/m/01_wsl,Pierce
Amy Sedaris,1961-03-29 00:00:00,F,Greek Americans,1.56,37.0,/m/01_wsl,Robin's Secretary
Max Martini,1969-12-11 00:00:00,M,Italian Americans,1.85,41.0,/m/0ddg_bs,Special Agent Williams
Zoe Saldana,1978-06-19 00:00:00,F,Dominican Americans,1.7,33.0,/m/0ddg_bs,Cataleya Restrepo
Michael Vartan,1968-11-27 00:00:00,M,Jewish people,1.83,42.0,/m/0ddg_bs,Danny Delanay
Lennie James,1965-10-11 00:00:00,M,Afro Trinidadians and Tobagonians,1.765,45.0,/m/0ddg_bs,Special Agent Ross
Ice Cube,1969-06-15 00:00:00,M,African Americans,1.727,33.0,/m/06x8g2,Craig
Mike Epps,1970-11-18 00:00:00,M,African Americans,1.87,32.0,/m/06x8g2,Day-Day
K. D. Aubert,1978-12-06 00:00:00,F,African Americans,1.77,23.0,/m/06x8g2,Donna
John Witherspoon,1942-01-27 00:00:00,M,Scottish Americans,1.78,60.0,/m/06x8g2,Willie Jones
Anna Maria Horsford,1948-03-06 00:00:00,F,African Americans,1.73,54.0,/m/06x8g2,Mrs. Betty Jones
Katt Williams,1973-09-02 00:00:00,M,African Americans,1.65,29.0,/m/06x8g2,Money Mike
Terry Crews,1968-07-30 00:00:00,M,African Americans,1.89,34.0,/m/06x8g2,Damon
Mike Epps,1970-11-18 00:00:00,M,African Americans,1.87,32.0,/m/06x8g2,Old Man with Shotgun
Mehcad Brooks,1980-10-25 00:00:00,M,African Americans,1.905,30.0,/m/0gvrx5s,Niles
Alan Alda,1936-01-28 00:00:00,M,Irish Americans,1.88,60.0,/m/0mdlf,Richard Schlichting
Patricia Arquette,1968-04-08 00:00:00,F,French Americans,1.562,27.0,/m/0mdlf,Nancy Coplin
Mary Tyler Moore,1936-12-29 00:00:00,F,Irish Americans,1.702,59.0,/m/0mdlf,Pearl Coplin
Ben Stiller,1965-11-30 00:00:00,M,Jewish people,1.73,30.0,/m/0mdlf,Mel
Téa Leoni,1966-02-25 00:00:00,F,Italian Americans,1.702,30.0,/m/0mdlf,Tina Kalb
Samuel L. Jackson,1948-12-21 00:00:00,M,African Americans,1.89,55.0,/m/03vhs5,John Mills
Andy García,1956-04-12 00:00:00,M,Hispanic and Latino Americans,1.78,47.0,/m/03vhs5,Mike Delmarco
Marlon Wayans,1972-07-23 00:00:00,M,African Americans,1.842,28.0,/m/028xm3,Snails
Jeremy Irons,1948-09-19 00:00:00,M,English people,1.85,52.0,/m/028xm3,Profion
Richard O'Brien,1942-03-25 00:00:00,M,White British,1.73,58.0,/m/028xm3,Xilus
Thora Birch,1982-03-11 00:00:00,F,Italian Americans,1.63,18.0,/m/028xm3,Empress Savina
Abhay Deol,1976-03-15 00:00:00,M,Punjabis,1.85,32.0,/m/04z_5x2,Lovinder 'Lucky' Singh
Archana Puran Singh,1962-09-26 00:00:00,F,Indians,1.7,46.0,/m/04z_5x2,Mrs. Handa
Michelle Pfeiffer,1958-04-29 00:00:00,F,Swedish Americans,1.71,49.0,/m/0db2z1,Rosie
Paul Rudd,1969-04-06 00:00:00,M,Jewish people,1.78,38.0,/m/0db2z1,Adam
Saoirse Ronan,1994-04-12 00:00:00,F,Irish Americans,1.68,13.0,/m/0db2z1,Izzie
Stacey Dash,1966-01-20 00:00:00,F,Mexicans,1.626,41.0,/m/0db2z1,Brianna
Tracey Ullman,1959-12-30 00:00:00,F,Romani people,1.66,47.0,/m/0db2z1,Mother Nature
Graham Norton,1963-04-04 00:00:00,M,Irish people,1.73,44.0,/m/0db2z1,Taylor
Henry Winkler,1945-10-30 00:00:00,M,Jewish people,1.68,61.0,/m/0db2z1,Henry Winkler
Kelly McGillis,1957-07-09 00:00:00,F,White Americans,1.78,30.0,/m/0bh8g44,Emily
Mandy Patinkin,1952-11-30 00:00:00,M,Jewish people,1.85,35.0,/m/0bh8g44,Salwen
Rosanna Arquette,1959-08-10 00:00:00,F,American Jews,1.64,21.0,/m/02gz9t,Babs
Julie Andrews,1935-10-01 00:00:00,F,English people,1.73,45.0,/m/02gz9t,Sally Miles
Harrison Ford,1942-07-13 00:00:00,M,German Americans,1.85,53.0,/m/04wdfw,Linus Larrabee
Julia Ormond,1965-01-04 00:00:00,F,English people,1.71,30.0,/m/04wdfw,Sabrina
Greg Kinnear,1963-06-17 00:00:00,M,White Americans,1.765,32.0,/m/04wdfw,David Larrabee
Vanessa L. Williams,1963-03-18 00:00:00,F,African Americans,1.68,34.0,/m/043ncp,Teri Joseph
Vivica A. Fox,1964-07-30 00:00:00,F,Native Americans in the United States,1.7,33.0,/m/043ncp,Maxine Chadway
Michael Beach,1963-10-30 00:00:00,M,African Americans,1.75,33.0,/m/043ncp,Miles
Nia Long,1970-10-30 00:00:00,F,Afro Trinidadians and Tobagonians,1.57,26.0,/m/043ncp,"Tracy ""Bird"" Van Adams"
Mekhi Phifer,1974-12-29 00:00:00,M,African Americans,1.765,22.0,/m/043ncp,Lem Van Adams
Irma P. Hall,1935-06-03 00:00:00,F,African Americans,1.52,62.0,/m/043ncp,Josephine Joseph
Nick Nolte,1941-02-08 00:00:00,M,Irish people,1.85,52.0,/m/0blfnd,Matt Hobbs
Albert Brooks,1947-07-22 00:00:00,M,Jewish people,1.78,46.0,/m/0blfnd,Burke Adler
Joely Richardson,1965-01-09 00:00:00,F,White people,1.75,29.0,/m/0blfnd,Cathy Breslow
Tracey Ullman,1959-12-30 00:00:00,F,Romani people,1.66,34.0,/m/0blfnd,Beth Hobbs
Rosie O'Donnell,1962-03-21 00:00:00,F,Irish Americans,1.7,31.0,/m/0blfnd,Make-Up Person
Henry Winkler,1945-10-30 00:00:00,M,Jewish people,1.68,32.0,/m/0bc1vg,Jack Dunne
Charles Bronson,1921-11-03 00:00:00,M,Lithuanian Americans,1.74,52.0,/m/02pt7wb,Paul Kersey
Jeff Goldblum,1952-10-22 00:00:00,M,Jewish people,1.94,21.0,/m/02pt7wb,Freak #1
Christopher Guest,1948-02-05 00:00:00,M,Jewish people,1.8,26.0,/m/02pt7wb,Patrolman Jackson Reilly
Sarah Michelle Gellar,1977-04-14 00:00:00,F,Jewish people,1.63,27.0,/m/045j3w,Karen
Bill Pullman,1953-12-17 00:00:00,M,White Americans,1.87,50.0,/m/045j3w,Peter
Jason Schwartzman,1980-06-26 00:00:00,M,Italian Americans,1.68,22.0,/m/03mvtj,Milton
Al Pacino,1940-04-25 00:00:00,M,Italian Americans,1.7,62.0,/m/03mvtj,Viktor Taransky
Winona Ryder,1971-10-29 00:00:00,F,Jewish people,1.61,30.0,/m/03mvtj,Nicola Anders
Jay Mohr,1970-08-23 00:00:00,M,Scottish Americans,1.753,32.0,/m/03mvtj,Hal Sinclair
Catherine Keener,1959-03-23 00:00:00,F,Irish people,1.73,43.0,/m/03mvtj,Elaine Christian
Evan Rachel Wood,1987-09-07 00:00:00,F,French Americans,1.68,14.0,/m/03mvtj,Lainey Christian Taransky
Claudia Jordan,1973-04-12 00:00:00,F,African Americans,1.73,29.0,/m/03mvtj,Simone Lookalike
Rebecca Romijn,1972-11-06 00:00:00,F,Dutch Americans,1.8,29.0,/m/03mvtj,Faith
Josh Hartnett,1978-07-21 00:00:00,M,Swedes,1.91,23.0,/m/03lx3k,Matt Sullivan
Shannyn Sossamon,1978-10-03 00:00:00,F,German Americans,1.715,23.0,/m/03lx3k,Erica Sutton
Maggie Gyllenhaal,1977-11-16 00:00:00,F,Swedish Americans,1.75,24.0,/m/03lx3k,Sam
Jackie Chan,1954-04-07 00:00:00,M,Hongkongers,1.74,41.0,/m/07yhfx,Insp. Chan Ka Kui
Sarah Jessica Parker,1965-03-25 00:00:00,F,Jewish people,1.6,29.0,/m/026pzbg,Gwyn Marcus
Carla Gugino,1971-08-29 00:00:00,F,Italian Americans,1.65,23.0,/m/026pzbg,Leslie Marcus
Naomi Campbell,1970-05-22 00:00:00,F,Black Britons,1.77,24.0,/m/026pzbg,Kaia
Ben Stein,1944-11-25 00:00:00,M,Jewish people,1.8,50.0,/m/026pzbg,Rabbi
Heather Graham,1970-01-29 00:00:00,F,White Americans,1.73,21.0,/m/088hlm,Sara Benedict
John Travolta,1954-02-18 00:00:00,M,Italian Americans,1.83,37.0,/m/088hlm,Jack Cabe
Gwyneth Paltrow,1972-09-27 00:00:00,F,Jewish people,1.75,19.0,/m/088hlm,Rebecca
Vince Vaughn,1970-03-28 00:00:00,M,Canadian Americans,1.96,40.0,/m/0c3_662,Ronny Valentine
Jennifer Connelly,1970-12-12 00:00:00,F,Jewish people,1.69,40.0,/m/0c3_662,Beth
Winona Ryder,1971-10-29 00:00:00,F,Jewish people,1.61,39.0,/m/0c3_662,Geneva Backman
Channing Tatum,1980-04-26 00:00:00,M,Native Americans in the United States,1.854,30.0,/m/0c3_662,Zip
Queen Latifah,1970-03-18 00:00:00,F,African Americans,1.78,40.0,/m/0c3_662,Dana
Clint Howard,1959-04-20 00:00:00,M,Scottish people,1.689,51.0,/m/0c3_662,Herbert Trimpy
George C. Scott,1927-10-18 00:00:00,M,White people,1.85,52.0,/m/05y808,John Russell
Melvyn Douglas,1901-04-05 00:00:00,M,Jewish people,1.86,78.0,/m/05y808,Senator Joe Carmichael
Wesley Snipes,1962-07-31 00:00:00,M,African Americans,1.753,42.0,/m/048tv9,Blade
Kris Kristofferson,1936-06-22 00:00:00,M,Swedish Americans,1.79,68.0,/m/048tv9,Abraham Whistler
Dominic Purcell,1970-02-17 00:00:00,M,Australians,1.88,34.0,/m/048tv9,Drake
Jessica Biel,1982-03-03 00:00:00,F,English Americans,1.73,22.0,/m/048tv9,Abigail Whistler
Callum Keith Rennie,1960-09-14 00:00:00,M,Scottish Canadians,1.791,44.0,/m/048tv9,Asher Talos
Erica Cerra,1979-10-31 00:00:00,F,Italian Canadians,1.638,25.0,/m/048tv9,Goth Vixen Wannabe
Milla Jovovich,1975-12-17 00:00:00,F,Serbian Americans,1.74,15.0,/m/05v6d_,Lilli Hargrave
Mary McCormack,1969-02-08 00:00:00,F,Irish Americans,1.708,30.0,/m/085480,Donna Biebe
Russell Crowe,1964-04-07 00:00:00,M,Māori,1.8,35.0,/m/085480,John Biebe
Hank Azaria,1964-04-25 00:00:00,M,American Jews,1.82,35.0,/m/085480,Charles Danner
Mike Myers,1963-05-25 00:00:00,M,Scottish Canadians,1.73,36.0,/m/085480,Donnie Shulzhoffer
Drew Barrymore,1975-02-22 00:00:00,F,Irish Americans,1.63,27.0,/m/03s6l2,Penny
Maggie Gyllenhaal,1977-11-16 00:00:00,F,Swedish Americans,1.75,25.0,/m/03s6l2,Debbie
George Clooney,1961-05-06 00:00:00,M,Irish Americans,1.8,41.0,/m/03s6l2,Jim Byrd
Julia Roberts,1967-10-28 00:00:00,F,English Americans,1.75,35.0,/m/03s6l2,Patricia Watson
Michael Ensign,1944-02-13 00:00:00,M,British Americans,1.88,58.0,/m/03s6l2,Simon Oliver
Rutger Hauer,1944-01-23 00:00:00,M,Dutch,1.85,58.0,/m/03s6l2,Keeler
Matt Damon,1970-10-08 00:00:00,M,Scandinavian Americans,1.78,32.0,/m/03s6l2,Matt
Michael Cera,1988-06-07 00:00:00,M,Italian Canadians,1.746,14.0,/m/03s6l2,"Chuck, Age 8 and 11 (as Michael Céra)"
Krista Allen,1971-04-05 00:00:00,F,Irish Americans,1.71,31.0,/m/03s6l2,Pretty Woman
Matt Damon,1970-10-08 00:00:00,M,Scandinavian Americans,1.78,32.0,/m/03s6l2,Bachelor #2
Aamir Khan,1965-03-14 00:00:00,M,Afghans in India,1.68,42.0,/m/027lqr4,Ram Shankar Nikumbh
Arsenio Hall,1956-02-12 00:00:00,M,African Americans,1.803,33.0,/m/05my53,Crying Man
Richard Pryor,1940-12-01 00:00:00,M,African Americans,1.78,48.0,/m/05my53,Sugar Ray
Charlie Murphy,1959-07-12 00:00:00,M,African Americans,1.85,30.0,/m/05my53,Jimmy
Bob Newhart,1929-09-05 00:00:00,M,German Americans,1.72,40.0,/m/09qycb,Maj. Major Major
Alan Arkin,1934-03-26 00:00:00,M,Jewish people,1.75,36.0,/m/09qycb,Yossarian
Martin Balsam,1919-11-04 00:00:00,M,Jewish people,1.7,50.0,/m/09qycb,Colonel Cathcart
Richard Benjamin,1938-05-22 00:00:00,M,Jewish people,1.87,32.0,/m/09qycb,Major Danby
Art Garfunkel,1941-11-05 00:00:00,M,Jewish people,1.83,28.0,/m/09qycb,Nately
Martin Sheen,1940-08-03 00:00:00,M,Spanish Americans,1.7,29.0,/m/09qycb,Dobbs
Jon Voight,1938-12-29 00:00:00,M,Slovak Americans,1.892,31.0,/m/09qycb,1st Lt. Milo Minderbinder
Bob Balaban,1945-08-16 00:00:00,M,Jewish people,1.65,24.0,/m/09qycb,Orr
Charles Grodin,1935-04-21 00:00:00,M,Jewish people,1.83,35.0,/m/09qycb,Aarfy Aardvark
Robert De Niro,1943-08-17 00:00:00,M,Italian Americans,1.77,33.0,/m/04khjx,Jimmy Doyle
Andy Griffith,1926-06-01 00:00:00,M,White Americans,1.83,82.0,/m/04n3lf7,Grandpa Joe
Doris Roberts,1925-11-04 00:00:00,F,Jewish people,1.55,83.0,/m/04n3lf7,Rose Sherman
Clint Howard,1959-04-20 00:00:00,M,Scottish people,1.689,49.0,/m/04n3lf7,Dick
Geoffrey Owens,1961-03-18 00:00:00,M,African Americans,1.72,47.0,/m/04n3lf7,Rob
Frankie Faison,1949-06-10 00:00:00,M,African Americans,1.88,55.0,/m/05fmsx,Corwin
Dennis Quaid,1954-04-09 00:00:00,M,Cajun,1.83,50.0,/m/05fmsx,Dan Foreman
Scarlett Johansson,1984-11-22 00:00:00,F,Ashkenazi Jews,1.63,20.0,/m/05fmsx,Alex Foreman
Marg Helgenberger,1958-11-16 00:00:00,F,Irish Americans,1.68,46.0,/m/05fmsx,Ann Foremann
David Paymer,1954-08-30 00:00:00,M,Jewish people,1.7,50.0,/m/05fmsx,Morty
Selma Blair,1972-06-23 00:00:00,F,Jewish people,1.6,32.0,/m/05fmsx,Kimberly
Zena Grey,1988-11-15 00:00:00,F,Jewish people,1.57,16.0,/m/05fmsx,Jana Foreman
Lauren Tom,1961-08-04 00:00:00,F,Chinese Americans,1.54,43.0,/m/05fmsx,Obstetrician
John Cho,1972-06-16 00:00:00,M,Korean Americans,1.78,32.0,/m/05fmsx,Petey
Peter Mullan,1959-11-02 00:00:00,M,Scottish people,1.727,52.0,/m/0cc5qkt,Ted Narracott
Benedict Cumberbatch,1976-07-19 00:00:00,M,English people,1.84,35.0,/m/0cc5qkt,Major Stewart
Emily Watson,1967-01-14 00:00:00,F,English people,1.73,44.0,/m/0cc5qkt,Rose Narracott
David Thewlis,1963-03-20 00:00:00,M,English people,1.89,48.0,/m/0cc5qkt,Lyons
Toby Kebbell,1982-07-09 00:00:00,M,English people,1.88,29.0,/m/0cc5qkt,Geordie
Derek Luke,1974-04-24 00:00:00,M,African Americans,1.778,32.0,/m/0h5xd2,Patrick Chamusso
Michael Douglas,1944-09-25 00:00:00,M,Scotch-Irish Americans,1.78,55.0,/m/02q56mk,Prof. Grady Tripp
