actor_name,actor_dob,actor_gender,actor_ethnicity_label,actor_height,actor_age_at_release,freebase_movie_id,character_name
Ice Cube,1969-06-15 00:00:00,M,African Americans,1.727,32.0,/m/03vyhn,Desolation Williams
Pam Grier,1949-05-26 00:00:00,F,African Americans,1.727,52.0,/m/03vyhn,Commander Helena Braddock
Taraji P. Henson,1970-09-11 00:00:00,F,African Americans,1.65,30.0,/m/014k4y,Yvette
Tyrese Gibson,1978-12-30 00:00:00,M,African Americans,1.797,22.0,/m/014k4y,Jody
Snoop Dogg,1971-10-20 00:00:00,M,African Americans,1.918,29.0,/m/014k4y,Rodney
Mo'Nique Imes-Jackson,1967-12-11 00:00:00,F,African Americans,1.75,33.0,/m/014k4y,Patrice
Angell Conwell,1983-08-02 00:00:00,F,African Americans,1.62,17.0,/m/014k4y,Kim
Ving Rhames,1959-05-12 00:00:00,M,African Americans,1.83,42.0,/m/014k4y,Melvin
Omar Gooding,1976-10-19 00:00:00,M,African Americans,1.829,24.0,/m/014k4y,Sweetpea
Patrick Dempsey,1966-01-13 00:00:00,M,Irish Americans,1.79,23.0,/m/02vn81r,Randy Bodek
Robert Picardo,1953-10-27 00:00:00,M,Italian Americans,1.78,35.0,/m/02vn81r,Dr. Reed Palmer
Carrie Fisher,1956-10-21 00:00:00,F,Jewish people,1.55,32.0,/m/02vn81r,Monica Delancy
James Stewart,1908-05-20 00:00:00,M,Scottish Americans,1.91,45.0,/m/06xpdt,Steve Martin
Akshaye Khanna,1975-03-28 00:00:00,M,Indians,1.75,29.0,/m/0db_xm,Jai A. Chand
Kareena Kapoor,1980-09-21 00:00:00,F,Punjabis,1.63,24.0,/m/0db_xm,Anjali
Jackie Shroff,1957-02-01 00:00:00,M,Indians,1.83,47.0,/m/0db_xm,Balram 'Balli' A. Chand
Arbaaz Khan,1967-08-04 00:00:00,M,Indians,1.78,37.0,/m/0db_xm,Shakti A. Chand
Shakti Kapoor,1958-09-03 00:00:00,M,Indians,1.83,46.0,/m/0db_xm,Kashinath
Arshad Warsi,1968-04-19 00:00:00,M,Indians,1.65,36.0,/m/0db_xm,Lucky
Gerard Butler,1969-11-13 00:00:00,M,Irish migration to Great Britain,1.88,42.0,/m/0hhggp1,Frosty Hesson
Queen Latifah,1970-03-18 00:00:00,F,African Americans,1.78,40.0,/m/07kbj2s,Leslie Wright
Common,1972-03-13 00:00:00,M,African Americans,1.84,38.0,/m/07kbj2s,Scott McKnight
Paula Patton,1975-12-05 00:00:00,F,African Americans,1.63,34.0,/m/07kbj2s,Morgan Alexander
Phylicia Rashad,1948-06-19 00:00:00,F,African Americans,1.68,61.0,/m/07kbj2s,Ella McKnight
Pam Grier,1949-05-26 00:00:00,F,African Americans,1.727,60.0,/m/07kbj2s,Janice Wright
Laz Alonso,1974-03-25 00:00:00,M,Black people,1.83,36.0,/m/07kbj2s,Mark Matthews
