wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,box_office_revenue,runtime,languages,countries,genres,imdb_id,averageRating,numVotes,lead_actor_1,lead_actor_2,adjusted_box_office
22224559,/m/07ykkx5,the last song,2010-03-31,89041656.0,107.0,['English'],['United States of America'],"['Coming of age', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film', 'Teen']",tt1294226,6.0,93532.0,Miley Cyrus,Liam Hemsworth,124050423.64481044
4836072,/m/0cq7kw,my fair lady,1964-10-21,72000000.0,172.0,['English'],['United States of America'],"['Costume drama', 'Roadshow theatrical release', 'Musical', 'Drama', 'Comedy', 'Romance Film', 'Family Film']",tt0058385,7.7,103296.0,Audrey Hepburn,Rex Harrison,686925340.237742
736262,/m/036z4q,the sure thing,1985-03-01,18135531.0,95.0,['English'],['United States of America'],"['Romantic comedy', 'Adventure', 'Road movie', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Teen']",tt0090103,7.0,22553.0,John Cusack,Daphne Zuniga,51213387.16343719
5240350,/m/0d9j9b,big bad mama,1974-09-19,4000000.0,83.0,['English'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Comedy', 'Crime Thriller']",tt0071216,5.7,3204.0,Angie Dickinson,William Shatner,24973192.951478656
24292756,/m/07s83qp,eyes of a stranger,1981-02-11,1118634.0,84.0,['English'],['United States of America'],"['Thriller', 'Horror', 'Psychological thriller', 'Mystery', 'Crime Thriller', 'Slasher']",tt0082352,6.0,3312.0,Lauren Tewes,Jennifer Jason Leigh,3864136.5730177313
1231856,/m/04kkxx,for love of the game,1999-09-17,46112640.0,137.0,['English'],['United States of America'],"['Sports', 'Romantic drama', 'Romance Film', 'Drama']",tt0126916,6.6,38221.0,Kevin Costner,Kelly Preston,80338990.90535982
3028248,/m/08ll9g,chances are,1989-03-10,16278590.0,108.0,['English'],['United States of America'],"['Romantic comedy', 'Fantasy', 'Comedy', 'Romance Film', 'Fantasy Comedy', 'Romantic fantasy', 'Religious Film']",tt0097044,6.5,14122.0,Cybill Shepherd,Robert Downey Jr.,38919670.18191979
142274,/m/011xrr,the adventures of buckaroo banzai across the 8th dimension,1984-08-15,6227998.0,102.0,['English'],['United States of America'],"['Cult', 'Parody', 'Science Fiction', 'Adventure', 'Comedy']",tt0086856,6.2,30475.0,Peter Weller,John Lithgow,18343660.208166957
23593226,/m/06zkdv4,teree sang: a kidult love story,2009-08-07,555670.0,132.0,"['Hindi', 'Punjabi language', 'English']",['India'],"['Romance Film', 'Drama']",tt1485072,6.4,680.0,Ruslaan Mumtaz,Sheena Shahabadi,781885.838868259
1472852,/m/0547w5,down and out in beverly hills,1986-01-31,91411255.0,103.0,['English'],['United States of America'],"['Black comedy', 'Comedy of manners', 'Remake', 'Comedy', 'Domestic Comedy']",tt0090966,6.2,20462.0,Nick Nolte,Bette Midler,248210161.0692952
