wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,box_office_revenue,runtime,languages,countries,genres,imdb_id,averageRating,numVotes,lead_actor_1,lead_actor_2,release_year,adjusted_box_office
975900,/m/03vyhn,ghosts of mars,2001-08-24,14010832.0,98.0,['English'],['United States of America'],"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']",tt0228333,4.9,58906.0,Natasha Henstridge,Ice Cube,2001,17316681.355627045
156558,/m/014k4y,baby boy,2001-06-27,29381649.0,123.0,['English'],['United States of America'],"['Crime Fiction', 'Drama', 'Coming of age']",tt0255819,6.5,17112.0,Alexsandra Wright,Tyrese Gibson,2001,36314235.545460686
12053509,/m/02vn81r,loverboy,1989-04-28,3960327.0,98.0,['English'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']",tt0097790,6.1,8974.0,Patrick Dempsey,Kate Jackson,1989,7057080.713591943
1254263,/m/04mhwd,shivers,1975-10-10,1000000.0,89.0,['English'],['Canada'],"['Science Fiction', 'Horror', 'Erotica', 'Sci-Fi Horror', 'Psychological thriller', 'Cult', 'Satire', 'Indie']",tt0073705,6.3,24217.0,Paul Hampton,Joe Silver,1975,4265117.523216575
7767613,/m/026ccts,star!,1968-07-18,4000000.0,176.0,['English'],['United States of America'],"['Biography', 'Musical', 'Drama', 'Biopic [feature]', 'Biographical film', 'Musical Drama']",tt0063642,6.4,2305.0,Julie Andrews,Richard Crenna,1968,25328343.942539502
164388,/m/015wmt,the great santini,1979-10-26,4702575.0,115.0,['English'],['United States of America'],"['Family Drama', 'Drama']",tt0079239,7.1,7146.0,Robert Duvall,Blythe Danner,1979,15023711.642623993
1305819,/m/04rjwf,c.h.u.d.,1984-08-31,4650000.0,96.0,['English'],['United States of America'],"['Monster movie', 'Natural horror films', 'Science Fiction', 'B-movie', 'Creature Film', 'Cult', 'Drama', 'Horror', 'Slasher']",tt0087015,5.6,14395.0,John Heard,Daniel Stern,1984,10207800.112958683
16304395,/m/03wggk7,enemy territory,1987-05-22,197791.0,89.0,['English'],['United States of America'],"['Crime Fiction', 'Crime Thriller', 'Action', 'Drama']",tt0092969,6.2,1023.0,Gary Frank,Ray Parker Jr.,1987,384518.60075201956
3829646,/m/0b24ld,what have i done to deserve this?,1984-10-25,706685.0,101.0,"['English', 'Spanish']",['Spain'],"['Crime Fiction', 'World cinema', 'Drama', 'Comedy', 'Black comedy', 'Domestic Comedy']",tt0088461,7.1,11421.0,Carmen Maura,Gonzalo Suárez,1984,1551333.166199184
3033993,/m/08m1s2,becoming jane,2007-03-02,37311672.0,112.0,['English'],"['Ireland', 'United Kingdom']","['Biography', 'Costume drama', 'Period piece', 'Drama', 'Biopic [feature]', 'Romantic drama', 'Romance Film', 'Biographical film']",tt0416508,7.0,66037.0,Anne Hathaway,James McAvoy,2007,40710774.66065728
