wikipedia_movie_id,freebase_movie_id,movie_release_date,character_name,actor_dob,actor_gender,actor_height,actor_name,actor_age_at_release,character_actor_map_id,character_id,actor_id,actor_ethnicity_label
975900,/m/03vyhn,2001-08-24 00:00:00,Desolation Williams,1969-06-15 00:00:00,M,1.727,Ice Cube,32.0,/m/0jys3g,/m/0bgchn_,/m/01vw26l,African Americans
156558,/m/014k4y,2001-06-27 00:00:00,Jody,1978-12-30 00:00:00,M,1.797,Tyrese Gibson,22.0,/m/0jtx5h,/m/03jnxf4,/m/01l1b90,African Americans
12053509,/m/02vn81r,1989-04-28 00:00:00,Randy Bodek,1966-01-13 00:00:00,M,1.79,Patrick Dempsey,23.0,/m/03jrkh2,/m/04fywxp,/m/034x61,Irish Americans
2229321,/m/06xpdt,1953-05-21 00:00:00,Steve Martin,1908-05-20 00:00:00,M,1.91,James Stewart,45.0,/m/0k73vg,/m/0gz5m2v,/m/044qx,Scottish Americans
5274269,/m/0db_xm,2004-11-26 00:00:00,Jai A. Chand,1975-03-28 00:00:00,M,1.75,Akshaye Khanna,29.0,/m/0jznhv,/m/0h9y7hd,/m/06qxx0,Indians
5274269,/m/0db_xm,2004-11-26 00:00:00,Anjali,1980-09-21 00:00:00,F,1.63,Kareena Kapoor,24.0,/m/0jznh_,/m/0gx3c_r,/m/02756j,Punjabis
34137688,/m/0hhggp1,2012-10-25 00:00:00,Frosty Hesson,1969-11-13 00:00:00,M,1.88,Gerard Butler,42.0,/m/0hlb107,/m/0hlb10b,/m/038rzr,Irish migration to Great Britain
24021571,/m/07kbj2s,2010-05-14 00:00:00,Leslie Wright,1970-03-18 00:00:00,F,1.78,Queen Latifah,40.0,/m/07lm70r,/m/0bh43hd,/m/01wgcvn,African Americans
24021571,/m/07kbj2s,2010-05-14 00:00:00,Scott McKnight,1972-03-13 00:00:00,M,1.84,Common,38.0,/m/0bh43lc,/m/0bh43lg,/m/01w7nwm,African Americans
2216254,/m/06wmyc,1995-03-31 00:00:00,Thomas Jefferson,1941-02-08 00:00:00,M,1.85,Nick Nolte,54.0,/m/0j_4hj,/m/042462z,/m/0lkr7,Irish people
2216254,/m/06wmyc,1995-03-31 00:00:00,Maria Cosway,1960-02-18 00:00:00,F,1.75,Greta Scacchi,35.0,/m/0j_4hp,/m/0h5kh9c,/m/03crmd,Italian Australians
1964091,/m/069dl1,2007-04-25 00:00:00,Cris Johnson,1964-01-07 00:00:00,M,1.83,Nicolas Cage,43.0,/m/02h7l58,/m/02nwj_p,/m/01vvb4m,German Americans
1964091,/m/069dl1,2007-04-25 00:00:00,Callie Ferris,1960-12-03 00:00:00,F,1.6,Julianne Moore,46.0,/m/02h7l5h,/m/02nwj_7,/m/01kb2j,Scottish Americans
1033477,/m/040280,2004-04-30 00:00:00,Richard Wells,1943-08-17 00:00:00,M,1.77,Robert De Niro,60.0,/m/0jyvqd,/m/0gxsb_6,/m/06cgy,Italian Americans
817057,/m/03dwzc,1981-05-22 00:00:00,Marshall William T. O'Niel,1930-08-25 00:00:00,M,1.89,Sean Connery,50.0,/m/0k1p60,/m/0gyk9ll,/m/06mr6,Scottish people
3184269,/m/0dnqr,1989-05-24 00:00:00,Indiana Jones,1942-07-13 00:00:00,M,1.85,Harrison Ford,46.0,/m/0jzx7x,/m/03ttl,/m/0c0k1,German Americans
3184269,/m/0dnqr,1989-05-24 00:00:00,"Henry Jones, Sr.",1930-08-25 00:00:00,M,1.89,Sean Connery,58.0,/m/0jzx81,/m/0bss74,/m/06mr6,Scottish people
